Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,PAAPEX4570310000001,,Short,1,25717.50,25667.50,1/9/2026 10:01:17 AM,1/9/2026 10:07:11 AM,,,$98.96,$98.96,$1.04,$0.00,$0.00,$0.00,$0.00,$100.00,$200.00,$101.04,0,
2,MNQ MAR26,PAAPEX4570310000001,,Short,1,25717.50,25617.50,1/9/2026 10:01:17 AM,1/9/2026 10:08:45 AM,,,$198.96,$297.92,$1.04,$0.00,$0.00,$0.00,$0.00,$100.00,$200.00,$1.04,0,
3,MNQ MAR26,PAAPEX4570310000001,,Long,1,25794.25,25844.25,1/9/2026 10:22:22 AM,1/9/2026 10:27:14 AM,,,$98.96,$396.88,$1.04,$0.00,$0.00,$0.00,$0.00,$66.00,$100.00,$1.04,0,
4,MNQ MAR26,PAAPEX4570310000001,,Long,1,25794.25,25827.25,1/9/2026 10:22:22 AM,1/9/2026 10:40:42 AM,,,$64.96,$461.84,$1.04,$0.00,$0.00,$0.00,$0.00,$66.00,$100.00,$35.04,0,
5,MNQ MAR26,PAAPEX4570310000001,,Long,1,25792.00,25842.00,1/9/2026 10:47:11 AM,1/9/2026 11:02:26 AM,,,$98.96,$560.80,$1.04,$0.00,$0.00,$0.00,$0.00,$100.00,$200.00,$101.04,0,
6,MGC FEB26,PAAPEX4570310000001,,Long,2,4509.2,4516.6,1/9/2026 10:09:48 AM,1/9/2026 11:07:08 AM,,,$145.32,$706.12,$2.68,$0.00,$0.00,$0.00,$0.00,$148.00,$148.00,$2.68,0,
7,MNQ MAR26,PAAPEX4570310000001,,Long,1,25792.00,25892.00,1/9/2026 10:47:11 AM,1/9/2026 11:13:46 AM,,,$198.96,$905.08,$1.04,$0.00,$0.00,$0.00,$0.00,$100.00,$200.00,$1.04,0,
8,CL FEB26,PAAPEX4570310000001,,Long,1,59.06,59.60,1/9/2026 10:13:02 AM,1/9/2026 11:48:12 AM,,,$536.66,$1441.74,$3.34,$0.00,$0.00,$0.00,$0.00,$540.00,$540.00,$3.34,0,
9,NG FEB26,PAAPEX4570310000001,,Long,1,3.256,3.296,1/12/2026 9:39:41 AM,1/12/2026 10:50:33 AM,,,$396.46,$1838.20,$3.54,$0.00,$0.00,$0.00,$0.00,$400.00,$400.00,$3.54,0,
10,NG FEB26,PAAPEX4570310000002,,Long,1,3.256,3.296,1/12/2026 9:39:41 AM,1/12/2026 10:50:33 AM,,,$396.46,$2234.66,$3.54,$0.00,$0.00,$0.00,$0.00,$400.00,$400.00,$3.54,0,
